,hi-en,hi
5932,suhas,सुहास
5933,omeli,ओमेली
5934,ksena,क्सेना
5935,veretis,वेरेडिस
5936,jagan,जगन
5937,christin,क्रिस्टीन
5938,godfre,गोडफ्रे
5939,grenech,ग्रेचेन
5940,jitendra,जितेन्द्र
5941,iabarat,इबरत
5942,nimand,निमाड़
5943,varti,वर्डी
5944,dooth,दूध
5945,redatable,रेडॉटेबल
5946,khel,खेल
5947,mohabbat,मोहब्बत
5948,sanaampta,सनऑप्टा
5949,legonear,लिगोनियर
5950,heraldick,हेराल्ड‍िक
5951,shahiraah,शहीराह
5952,bazhida,बज़िदा
5953,maksood,मकसूद
5954,feel,फिल
5955,carlson,कार्लसन
5956,padosan,पड़ोसन
5957,bijli,बिजली
5958,chamke,चमके
5959,jamna,जमना
5960,janhvi,जान्हवी
5961,solah,सोलह
5962,farhat,फरहत
5963,kuntaa,कुंता
5964,good,गुड
5965,knight,नाइट
5966,gauth,गौथ
5967,seventeen,सत्रह
5968,salomi,सलोमी
5969,claim,क्लेम
5970,prapitameshwar,प्रपितामेश्वर
5971,badrinath,बद्रीनाथ
5972,gulami,गुलामी
5973,mureal,म्युरिएल
5974,bap,बाप
5975,ashiana,आशियाना
5976,vrihuala,विहुएला
5977,utpal,उत्पल
5978,chetterjee,चैटर्जी
5979,perunchni,पेरुंचनी
5980,rizarvayor,रिज़रवायर
5981,bethani,बेथानी
5982,evongelikal,एवनगेलिकल
5983,rukh,रुख
5984,dusuha,दसूहा
5985,satyamurti,सत्यमूर्ति
5986,antim,अंतिम
5987,cardigan,कार्डिगन
5988,matsikenyeri,मैटसिकेन्येरी
5989,bhimavaram,भीमावरम
5990,adelaide,एडीलेड
5991,sanghera,संघेरा
5992,tonganoxie,टाँगनॉक्सी
5993,margret,मार्गरेट
5994,mad,मेड
5995,shuchismita,शुचिस्मिता
5996,stern,स्टैन
5997,mukeet,मुकीत
5998,dasuya,दसुया
5999,begu,बेगु
6000,saudanr,साउदर्न
6001,aayran,आयरन
6002,keshav,केशव
6003,sultan,सुल्तान
6004,sukanya,सुकन्या
6005,jordan,जॉर्डन
6006,raid,रेड
6007,yolanda,योलान्डा
6008,heroid,हेरोइट
6009,phosforus,फॉस्फोरस
6010,vijender,विजेंदर
6011,ranjit,रंजीत
6012,fernando,फर्नेंडो
6013,zada,ज़ैदा
6014,crete,क्रेट
6015,air,एयर
6016,hamburg,हैमबर्ग
6017,saipratap,साईप्रताप
6018,dionne,डियोन
6019,sharmila,शर्मिला
6020,doyiwala,दोइवाला
6021,bholi,भोली
6022,bhali,भाली
6023,rochna,रोचन
6024,amita,अमिता
6025,bijayanagar,बिजयनगर
6026,gharoda,घरोड़ा
6027,saimah,सैमाह
6028,vikram,विक्रम
6029,solanki,सोलंकी
6030,texas,टैक्सास
6031,instruments,इंस्ट्रुमेंट्स
6032,bangai,बॉन्गाईगांव
6033,siddi,सिद्धि
6034,vinayak,विनायक
6035,meetha,मीठा
6036,zehar,ज़हर
6037,davida,टेविटा
6038,banoff,बैरनऑफ
6039,chanchuka,धंधुका
6040,sagufa,शगुफा
6041,khiladi,खिलाड़ी
6042,cleopatra,क्लियोपात्रा
6043,asoka,असोका
6044,nafi,नफी
6045,garmin,गार्मिन
6046,jackman,जैकमन
6047,acharya,आचार्य
6048,mard,मर्द
6049,baccha,बच्चा
6050,chase,चैज़
6051,jagrao,जगराउ
6052,olesia,ओलेसिया
6053,kayanthiya,कायंथिया
6054,oter,दूसरी
6055,ronat,रोनट
6056,vermilion,सिंदूर
6057,donation,दान
6058,vishakha,विशाखा
6059,skohenepheld,स्कोहेनेफेल्ड
6060,ratr,रत्न
6061,manjari,मंजरी
6062,shahinah,शाहीनाह
6063,shaktimaan,शक्तिमान
6064,anatoli,अनातोली
6065,oomananda,ओमानन्द
6066,dika,डिक
6067,wine,वैन
6068,daik,डाइक
6069,chittowdgad,चित्तौड़गढ़
6070,kevaladev,केवलादेव
6071,silaak,सीलॅक
6072,asabag,अस्बाग
6073,district,डिस्ट्रीक्ट
6074,tanganyika,टांगानाइका
6075,chapra,छपरा
6076,parminder,परमिंदर
6077,saood,सऊद
6078,sawwaf,सव्वाफ
6079,anjushree,अंजुश्री
6080,capital,कैपिटल
6081,koushal,कौशल
6082,lokuarachhi,लोकुअराच्ची
6083,faindaingo,फैनडैंगो
6084,jenibel,जेनिबेल
6085,sayyad,सय्यद
6086,gangan,गंगन
6087,kaaga,कागा
6088,umayyah,उमय्याह
6089,grandak,ग्रेन्टेक
6090,competition,कॉर्पोरेशन
6091,kargil,कारजिल
6092,sule,सुले
6093,induja,इन्दुजा
6094,odissi,ओडिसी
6095,flex,फ़्लेक्स
6096,team,टिम
6097,curry,कॅरी
6098,bhoy,भाई
6099,cadhjury,काठजुरी
6100,binaguri,बिनागुरी
6101,jalte,जलते
6102,gowot,गैवोट
6103,shisha,शीशा
6104,nilagriva,नीलाग्रीव
6105,benin,बेनिन
6106,dadha,दाद
6107,vaali,वाली
6108,valters,वॉल्टर्स
6109,crocker,क्रोकर
6110,hainkank,हैनकॉक
6111,naazneem,नाज़नीं
6112,parambikulam,परमबिकुलम
6113,rezervoir,रिज़रवायर
6114,kairesa,कैरेसा
6115,murle,मुर्रे
6116,nusrat,नुसरत
6117,kairesi,कैरेसी
6118,mayur,मयूर
6119,baruva,बरुवा
6120,zachary,ज़करी
6121,prhithvi,पृथ्वी
6122,vallabh,वल्लभ
6123,yuran,युरन
6124,fabiano,फैबियानो
6125,dayyan,दयान
6126,ninon,निनोन
6127,kamakshi,कामाक्षी
6128,amman,अम्मान
6129,nodar,नोटर
6130,kamal,कमाल
6131,petronos,प्रेट्रोनॉस
6132,phaiyat,फैयद
6133,nastar,नश्तर
6134,tayni,टायनी
6135,vikrant,विक्रांत
6136,badriprasad,बद्रीप्रसाद
6137,hasini,हसीना
6138,diwane,दीवाने
6139,aakarshan,आकर्षण
6140,kwintana,क्विंटाना
6141,southhaal,साउथहाल
6142,thuvaibah,थुवैबाह
6143,begam,बेगम
6144,akhtar,अख्तर
6145,vanamaalee,वनमाली
6146,fahd,फहद
6147,beauty,सुंदरता
6148,bohrium,बोरियम
6149,atiya,अतिया
6150,muhtadi,मुहतादी
6151,drums,ड्रम्स
6152,mekong,मेकाँग
6153,medini,मेदिनी
6154,aklmsh,अकल्मश
6155,rekhi,रेखी
6156,sohota,सोहोटा
6157,thiodor,थीओडोर
6158,rujvelt,रूज़वेल्ट
6159,saim,सेम
6160,bahadurgard,बहादुरगढ़
6161,jaisalmer,जैसलमेर
6162,ilesh,इलेश
6163,bengai,बैंगई
6164,yen,येन
6165,chandpur,चाँदपुर
6166,shote,शोटे
6167,bawtri,बॅटरी
6168,tahseen,तहसीन
6169,hajaribag,हजारीबाग
6170,davis,डेविस
6171,champavat,चम्पावत
6172,unikem,युनिकेम
6173,nasruddin,नसरूद्दीन
6174,higs,हिग्स
6175,sinjini,शिंजिनी
6176,limestone,लैंगस्टोन
6177,ridat,रिडाउट
6178,fill,फिल
6179,edmonds,एडमंड्‍स
6180,haat,हाथ
6181,safai,सफाई
6182,yuvaraj,युवराज
6183,pahala,पहला
6184,prativam,प्रीतवम
6185,shashi,शशी
6186,hadao,हटाओ
6187,spedses,स्पेट्सेस
6188,rosanlal,रोशनलाल
6189,sifayar,सैफायर
6190,satyavan,सत्यवान
6191,prajapat,प्रजापत
6192,anaparti,अनापर्ती
6193,theodora,थियोडोरा
6194,kashif,काशिफ
6195,rajan,रज़ा
6196,ismael,इस्माईल
6197,ismah,इस्माह
6198,nayyab,नय्यब
6199,kirti,कीर्ति
6200,ajad,आज़ाद
6201,ova,ओवा
6202,lembsa,लैब्स
6203,lejan,लेजन
6204,mukuta,मुकुट
6205,soundowall,सैंडोवल
6206,mukura,मुकुर
6207,philiphinse,फ़िलीपिन्स
6208,rakeb,रकीब
6209,naye,नई
6210,paheli,पहेली
6211,balharshah,बल्हारशाह
6212,adin,ऐदीन
6213,tori,टोरी
6214,fil,फिल
6215,nester,नेस्टर
6216,ganadhik,गणधिक
6217,marshall,मार्सेल
6218,benoist,बेनोइस्ट
6219,damini,दामिनी
6220,apollo,अपोलो
6221,hospital,हॉस्पिटल
6222,lakkad,लक्कड
6223,kairen,कैरेन
6224,blixon,ब्ल‍िक्सन
6225,chhatre,छत्रे
6226,bhadbhoke,भाडभोके
6227,eldhiya,एल्थिया
6228,baha,बहा
6229,gustao,गुस्तावो
6230,dhameejaa,धामीजा
6231,bidala,बिड़ला
6232,gangabhrat,गंगाभृत
6233,tanpura,तानपुरा
6234,sanam,सनम
6235,gomoh,गोमोह
6236,tarla,तरला
6237,avan,एऑन
6238,tredent,ट्रिडेंट
6239,idena,इडेना
6240,raamendra,रामेंद्र
6241,safed,सफ़ेद
6242,juthe,झूठ
6243,aara,आरा
6244,jokasta,जोकस्ता
6245,paapi,पापी
6246,peat,पेट
6247,basar,बसर
6248,lankeshwar,लंकेश्वर
6249,shyamangi,श्यामांगी
6250,khafid,खाफिद
6251,chandi,चाँदी
6252,narang,नारंग
6253,oliviya,ओलिविया
6254,barad,बराड़
6255,altar,वेदी
6256,baghauli,बघौली
6257,patagonian,पेटागोनियन
6258,lanza,लैंजा
6259,fox,फॉक्स
6260,weddell,वेडेल
6261,aragn,एरागन
6262,sacrifice,यज्ञ
6263,adams,एडम्स
6264,matching,मिलान
6265,lynette,लिनेट
6266,vendi,वेंडी
6267,tarvinder,तरविंदर
6268,janica,जेनिका
6269,arsanic,आर्सेनिक
6270,russel,रसेल
6271,bassi,बस्सी
6272,pathnam,पठनम
6273,chandelika,चंद्रलेखा
6274,kolorado,कोलोरॅडो
6275,hakakandi,हलाकांडी
6276,estabarak,इस्तबराक
6277,sheesham,शीशम
6278,godse,गोडसे
6279,sentrika,सेन्ट्रिका
6280,chinchali,चिंचली
6281,shahi,शाही
6282,bajar,बाज़ार
6283,dian,डाएन
6284,dial,डायल
6285,hedley,हेडली
6286,,अब्दुस
6287,shafi,शफी
6288,vadech,वदेच
6289,jaikaabs,जैकॉब्स
6290,aseem,असीम
6291,maarmaaraa,मारमारा
6292,rashtriy,राष्‍ट्रीय
6293,sahara,सहारा
6294,atikaah,आतिकाह
6295,sundarlight,सुंदरलैंड
6296,dalal,दलाल
6297,khwin,ध्वनि
6298,spain,स्पायन
6299,amirindr,अमिरिंद्र
6300,kleint,क्लॉड
6301,interesn,हेंडरसन
6302,doulat,दौलत
6303,bahaar,बहार
6304,alibaba,अलीबाबा
6305,majeerna,मर्जीना
6306,rangeel,रंगील
6307,ratan,रतन
6308,pairenees,पायरेनीस
6309,hasru,हार्से
6310,shaswathi,शस्वती
6311,linkolen,लिंकोलन
6312,dhugi,घुगी
6313,nabid,नबिघ
6314,saroja,सरोजा
6315,shairij,शेरीज
6316,vadita,वादिता
6317,brandon,ब्रेंडन
6318,julian,जूलियन
6319,kaishal,कैशल
6320,taarkedhar,तारकेश्वर
6321,khirash,खिराश
6322,rosemond,रोसमन्ड
6323,utsah,उत्सा
6324,jainab,ज़ैनब
6325,makra,मर्क
6326,atirah,आतिराह
6327,prometheis,प्रोमिथेउस
6328,chool,खुल
6329,ja,जा
6330,walk,वॉक
6331,shawn,शान
6332,creek,क्रीक
6333,sammelen,सम्मेलन
6334,taruni,तरुणी
6335,tulsidas,तुलसीदास
6336,jyotiba,ज्योतीबा
6337,yelijaabeth,एलीज़ाबेथ
6338,kaleyar,क्लेयर
6339,profate,प्रोफ़ेट
6340,daarnet,डार्नेट
6341,dachigam,दाचीगम
6342,achleskhar,अचलेश्वर
6343,vailes,वैलेस
6344,phule,फुले
6345,livonde,लिवोंदे
6346,viyatnam,वियतनाम
6347,nasib,नसीब
6348,bell,बेल
6349,naithle,नैथले
6350,deni,डेनी
6351,kwalior,कवालियर
6352,ezra,एज़्रा
6353,moselle,मोसेले
6354,s,केया
6355,accomphlishment,सिद्धि
6356,chiranjeev,चिरंजीव
6357,clear,निर्मल
6358,calla,कैला
6359,fajhulapur,फैज़ुलापुर
6360,hiralal,हीरालाल
6361,chirantan,चिरंतन
6362,deshonnati,देशोन्नत‍ि
6363,stenley,स्टैनले
6364,ansu,आँसू
6365,ban,बन
6366,gaye,गए
6367,ashrad,अर्शद
6368,davoyanka,दवोयंका
6369,badri,बद्री
6370,tumhare,तुम्हारे
6371,beena,बिना
6372,ajanta,अजंता
6373,toshiba,तोशिबा
6374,krodhi,क्रोधी
6375,collang,कोलाँग
6376,tanzim,तंज़ीम
6377,griffiths,ग्रिफिथ्स
6378,subah,सुबह
6379,betar,बेटर
6380,solutions,सॉल्यूशंस
6381,holi,हॉली
6382,hunter,हंटर
6383,chhav,छाँव
6384,shadab,शादाब
6385,karlisal,कार्लिसल
6386,pyasa,प्यासा
6387,sawan,सावन
6388,sayyar,सय्यार
6389,kaliyam,कलियाँ
6390,boss,बोस
6391,corp,कॉर्प
6392,nizr,नीजर
6393,aashi,आशी
6394,kaseyi,कसेई
6395,manchala,मनचला
6396,carlindaa,कारलिंडा
6397,masina,मसीना
6398,vaarta,वार्ता
6399,professional,प्रोफेश्नल
6400,resilinga,रेस्लिंग
6401,tough,दो
6402,dilo,दिलों
6403,dastan,दास्तां
6404,bagi,बागी
6405,durga,दुर्गा
6406,inkitadaar,इक़्तिदार
6407,elastraders,इलस्ट्रेटर्स
6408,future,फ्यूचर
6409,bahaucin,बहाउद्दीन
6410,deepit,दीपित
6411,soudamini,सौदामिनी
6412,suhrevardi,सुहरेवर्दी
6413,kawabata,कावाबाटा
6414,yasunari,यसुनारी
6415,salikah,सलीकाह
6416,endrance,एण्ड्रू
6417,television,टेलीविज़न
6418,awardress,अवार्ड्‍स
6419,delaveyar,डेलावेयर
6420,canal,केनाल
6421,constalation,कॉन्स्टेलेशन
6422,boinda,बोइंदा
6423,aabru,आबरू
6424,chandeegadiya,चंडीगड़िया
6425,bharva,भरवा
6426,sumerpur,सुमेरपुर
6427,gurneet,गुरनीत
6428,mainda,मैड्रा
6429,canadia,केनेडिया
6430,maria,मारिया
6431,shrivar,श्रीवर
6432,martan,मॉर्टन
6433,philip,फिलिप
6434,treksis,ड्रेक्सिस
6435,heldhth,हेल्थ
6436,ambotala,अम्बोडाला
6437,bejamin,बेंजामिन
6438,darsh,दर्श
6439,kattar,कटर
6440,gurprit,गुरप्रीत
6441,kasibhagh,कशिफाह
6442,hujyarah,हुजयराह
6443,azrak,अज़राक
6444,takr,डाकर
6445,gandhidam,गांधीधाम
6446,microbiology,माइक्रोबायोलॉजी
6447,modak,मोडक
6448,medlina,मैडलीना
6449,lily,लिली
6450,samander,समंदर
6451,bhudhar,भूधर
6452,shakespear,शेक्सपियर
6453,little,लिटिल
6454,lamdun,लॉडून
6455,kusumadheeraj,कुसुमाधिराज
6456,badnera,बदनेरा
6457,aatma,आत्मा
6458,salamat,सलामत
6459,raen,रॉएन
6460,selesteen,सेलेस्टीन
6461,garphone,गरफॉन
6462,bhagalpur,भागलपुर
6463,jansiwale,झांसीवाले
6464,dairan,डैरन
6465,semmi,सैम्मी
6466,ravinder,रविंद्र
6467,sahyadri,सह्याद्री
6468,port,पोर्ट
6469,luis,लुईस
6470,edith,एडिथ
6471,alfonso,अल्फांसो
6472,fail,फेल
6473,angelo,एंजेलो
6474,balmani,बालमणि
6475,paidaina,पायडैना
6476,motilal,मोतीलाल
6477,ghamandi,घमंडी
6478,telburt,डेलबर्ट
6479,prabhakar,प्रभाकर
6480,sarakshi,सारक्षी
6481,pramada,प्रमदा
6482,rayas,रॉयस
6483,grummen,ग्रुम्मन
6484,angiotech,एन्जियोटेक
6485,durgapur,दुर्गापुर
6486,naakuru,नाकुरु
6487,presideo,प्रेसिडियो
6488,dakhla,डाखला
6489,shivpriya,शिवप्रिया
6490,dorall,डॉरेल
6491,faster,फॉस्टर
6492,prabir,प्रबीर
6493,apolo,अपोलो
6494,tyres,टायर्स
6495,assam,हस्सम
6496,saliahaa,सलीहाह
6497,dana,दाना
6498,bharati,भारती
6499,quest,क्वेस्ट
6500,meina,मैना
6501,pratidin,प्रत‍िद‍िन
6502,bhanapur,भानापुर
6503,sailesh,सैलेश
6504,miles,माइल्स
6505,frenklin,फ्रेंकलिन
6506,costa,कोस्टा
6507,rika,रिका
6508,geet,गीत
6509,saimi,सैमी
6510,sosaa,सोसा
6511,laila,लैला
6512,majanu,मजनू
6513,swasti,स्वस्ति
6514,navneet,नवनीत
6515,daulat,दौलत
6516,frinses,प्रिंसेस
6517,sudath,सुदाथ
6518,pascvel,पासक्वेल
6519,mailkam,मैल्कम
6520,bailarij,बैलरिज
6521,quality,क्वालिटी
6522,aaminaha,आमिनाह
6523,rojaliya,रोज़ालिया
6524,bijur,बिजूर
6525,simran,सिमरन
6526,eklahart,एल्कहार्ट
6527,breast,ब्रेस्ट
6528,khuvayalaah,खुवयलाह
6529,glycols,ग्लायकॉल्स
6530,neki,नेकि
6531,beverian,बेवेरियन
6532,dahina,दाहिना
6533,jainabad,ज़ैनाबाद
6534,rege,रेगे
6535,eshbag,ऐशबाग
6536,packers,पार्क्स
6537,succession,सक्सेशन
6538,bhanvarlal,भंवरलाल
6539,laina,लायना
6540,arihant,अरिहंत
6541,dekstron,डेक्ट्रॉन
6542,diyanth,डियांथ
6543,surgery,सर्जरी
6544,valentina,वैलेंटिना
6545,advait,अद्वैत
6546,siddhimha,सिद्धिमा
6547,bankebihari,बांकेबिहारी
6548,loafing,आवारगी
6549,dagan,दगन
6550,villette,विलेट
6551,brazil,ब्राज़ील
6552,bagbahara,बागबहरा
6553,prasannajit,प्रसन्नजित
6554,hewan,हेवन
6555,gand,गॉड
6556,manasi,मानसी
6557,paayik,पाइक
6558,bhachow,भचउ
6559,jainies,जेनिस
6560,japalina,जॉपलिन
6561,boosters,बूस्टर्स
6562,colsa,कोल्स
6563,meira,मैर
6564,bakii,बकी
6565,gombe,गोंबे
6566,stream,स्ट्रीम
6567,gori,गेरी
6568,kosiyr,कॉसियर
6569,keemat,कीमत
6570,pander,पंढ़ेर
6571,kwila,क्विला
6572,kainath,कैनॅथ
6573,carnish,कॉर्न‍िश
6574,caaloni,कॉलोनी
6575,aahista,आहिस्ता
6576,ahista,आहिस्ता
6577,jelig,ज़ेलिग
6578,antni,एंतनी
6579,alim,अलीम
6580,wind,पवन
6581,african,अफ्रीकन
6582,kabhi,कभी
6583,chup,धूप
6584,chaanv,छाँव
6585,anokhi,अनोखी
6586,mohabat,मोहब्बत
6587,kanri,कॅरी
6588,jahadaari,जहदारी
6589,kelimutu,केलीमुटु
6590,jensaar,ज़ेन्सार
6591,shobhitaa,शोभिता
6592,martin,मार्टिन
6593,snedan,स्नेडन
6594,kaalis,कॉलिंस
6595,obuya,ओबुया
6596,chikodi,चिकोड़ी
6597,cisco,सिस्को
6598,edgar,एडगर
6599,poe,पोय
6600,groom,दुल्हा
6601,sold,बिकता
6602,raheed,शहीद
6603,shabua,झाबुआ
6604,clark,क्लार्क
6605,dharmanand,धर्मानन्द
6606,sharif,शरीफ
6607,badmaash,बदमाश
6608,hatheli,हथेली
6609,pay,पे
6610,late,लेउ
6611,dabilpur,दाबिलपुर
6612,bhind,भिण्ड
6613,gizali,गिसेली
6614,nishad,निषाद
6615,umesh,उमेश
6616,hizar,हिसार
6617,bad,बद
6618,badnam,बदनाम
6619,repzal,रेप्सॉल
6620,lover,लवर
6621,bai,बॉय
6622,kaidi,कैडी
6623,ceyako,सिएको
6624,epson,एप्सन
6625,saz,साज़
6626,bikaner,बीकानेर
6627,mummy,मम्मी
6628,daddy,डैडी
6629,jeenet,जीनेट
6630,gallop,गैलप
6631,rahul,राहुल
6632,dravid,द्रविड़
6633,shikar,शिकार
6634,paro,पारो
6635,vegvan,वेगवान
6636,bibhor,बिभोर
6637,botique,पुटिक
6638,kings,किंग्स
6639,matsushitha,मत्सुशिता
6640,arthay,अर्घ्य
6641,muralidhar,मुरलीधर
6642,narindrr,नरिंद्र
6643,adinaraayan,आदिनारायण
6644,nascopi,नैस्कोपी
6645,ray,रे
6646,pratapgarh,प्रतापगढ़
6647,sahil,साहिल
6648,sahas,सहस
6649,pande,पांडे
6650,nilagan,नीलांजन
6651,bareli,बरेली
6652,pak,पाक
6653,daman,दामन
6654,missicippi,मिसीसिपी
6655,mizori,मिसौरी
6656,kanaun,कनाउन
6657,dhia,धिया
6658,rabindranath,रबीन्द्रनाथ
6659,tagore,टागोर
6660,mukhataar,मुखतार
6661,heckenberg,हेकनबर्ग
6662,crooke,क्रुक
6663,goofy,नासमझ
6664,aji,अजी
6665,bus,बस
6666,shukriya,शुक्रिया
6667,jappa,ज़ाप्पा
6668,bransveg,ब्रॉन्स्वेग
6669,keneth,केनेथ
6670,kosuth,कोसुथ
6671,garot,गरोट
6672,ladlo,लडलो
6673,mausam,मौसम
6674,timbles,टिमबेल्स
6675,nesterov,नेस्टेरोव
6676,chavalkhede,चवलखेड़े
6677,fields,फील्ड्‍स
6678,visisht,विशिष्ट
6679,seva,सेवा
6680,philandar,फिलैंडर
6681,workstream,वर्कस्ट्रीम
6682,uditi,उदिति
6683,dairy,टैरी
6684,kol,कोल
6685,vhitekr,व्हिटेकर
6686,elahabaad,इलाहाबाद
6687,sawdne,साउदर्न
6688,petrocam,पेट्रोकेम
6689,aagaasoud,अगासोद
6690,brayant,ब्रायंट
6691,philo,फिलो
6692,failase,वैलेस
6693,hein,हैं
6694,lahu,लहू
6695,awaz,आवाज़
6696,asafpur,आसफपुर
6697,senegal,सेनेगल
6698,womens,वुमेन्स
6699,ripraijal,रीप्राइजल
6700,brizar,ब्रिजर
6701,dialis,डायलिस
6702,jarvis,जार्विस
6703,satnam,सतनाम
6704,overseas,ओवरसीस
6705,viplav,विप्लव
6706,adheera,अधीरा
6707,freak,फ्रिक
6708,collection,कलेक्शन
6709,jamaii,जमाई
6710,salif,सलीफ
6711,hawking,हॉकिंग
6712,dariyapur,दरियापुर
6713,saleh,सालेह
6714,activity,एक्टीविटी
6715,kuchipudi,कुचीपुड़ी
6716,karaks,काराकस
6717,bharatpur,भरतपुर
6718,bindya,बिंदिया
6719,tyson,टायसन
6720,erode,इरोड
6721,silsila,सिलसिला
6722,amprotech,ऑर्बोटेक
6723,anhid,अनहिद
6724,vaibhavi,वैभवी
6725,lalchand,लालचंद
6726,sukhdev,सुखदेव
6727,breaken,ब्रेकन
6728,agas,अगास
6729,gilespie,गिलेस्पी
6730,talash,तलाश
6731,deriya,डेरिया
6732,kalunsaa,कॉलूसा
6733,phaunche,पहुँचे
6734,huye,हुए
6735,khaalika,खालिक
6736,dorothi,डोरोथी
6737,cainfield,कैनफील्ड
6738,fisher,फिशर
6739,children,चिल्ड्रन
6740,agatha,अगाथा
6741,atmaram,आत्माराम
6742,suhira,सुहीरा
6743,dharamprit,धरमप्रीत
6744,super,सुपर
6745,bowl,बाउल
6746,mugani,मुग़ानी
6747,business,बिज़नेस
6748,rockbridge,रॉकब्रिज
6749,deo,डियो
6750,hantford,हॉर्टफोर्डब्रॉड्ले
6751,platform,प्लेटफार्म
6752,hur,हर
6753,famiryam,फेर्मियम
6754,bakare,बाकरे
6755,rio,रिओ
6756,guard,ग्रांड
6757,emrand,एमराल्ड
6758,after,ऑफर्ट
6759,sajiva,सजीवा
6760,mukcar,मुकद्दर
6761,badshah,बादशाह
6762,vajr,वज्र
6763,bikal,बिकल
6764,swayamvar,स्वयंवर
6765,lakshadweep,लक्षद्वीप
6766,trevor,ट्रेवर
6767,franklin,फ्रेंकलिन
6768,kaatib,कातिब
6769,surinder,सुरिन्दर
6770,beskiday,बेस्किडे
6771,ya,या
6772,valsin,व‍िल्सन
6773,kasal,कॅसल
6774,jenos,ज़ेनोस
6775,chitoor,चित्तूर
6776,gholvad,घोलवद
6777,perumpallam,पेरुमपल्लम
6778,aethan,एथन
6779,aelan,ऐलन
6780,homestead,होमस्टेड
6781,museam,म्युज़ियम
6782,dekker,डेक्कर
6783,zeven,ज़ेवेन
6784,provincien,प्रोविंसियन
6785,tanjavur,तंजावुर
6786,avatar,अवतार
6787,bouvet,बॉवेट
6788,adinarayan,आदिनारायण
6789,pegasas,पेगासस
6790,thhe,थत्ते
6791,bij,बिज
6792,rijnaven,‍रिजनॉवेन
6793,pehli,पहली
6794,shadi,शादी
6795,edrick,एडरिक
6796,alboran,अल्बोरान
6797,kaltham,कल्थम
6798,gloriann,ग्लोरियन
6799,nighojkar,निघोजकर
6800,mettur,मेत्तुर
6801,kapali,कपाली
6802,rinjani,रिनजनी
6803,michael,माइकल
6804,drayton,ड्राइटन
6805,mushtaak,मुश्ताक
6806,execute,अंजाम
6807,govinderazza,गोविंदराज्जा
6808,seine,सीन
6809,chamkour,चमकौर
6810,itoil,इटोइल
6811,vevae,वेवे
6812,aank,ऑफ
6813,crate,क्रेट
6814,sanaa,साना
6815,pyurs,प्युरस
6816,quick,क्विकस्टेप
6817,tanmya,तन्मया
6818,lot,लाउड
6819,breakwater,ब्रेकवॉटर
6820,mehman,मेहमान
6821,himaiks,हीमैक्स
6822,technologis,टेक्नोलॉजीज़
6823,phil,फिल
6824,simans,सिमंस
6825,sanat,सनत
6826,dainik,दैन‍िक
6827,jansadharan,जनसाधारण
6828,bhitoura,भिटौरा
6829,kasouti,कसौटी
6830,elvis,एल्विस
6831,prisle,प्रीस्ले
6832,coffee,कॉफ़ी
6833,zarka,ज़र्का
6834,moxenos,मॉक्सेनोस
6835,vittorio,विक्टोरियो
6836,jesse,जेसी
6837,jackson,जैक्सन
6838,billy,बिली
6839,duduk,डुदुक
6840,samabaran,समबरन
6841,courageous,करेजियस
6842,geneva,जेनेवा
6843,spencer,स्पेन्सर
6844,gazalaan,ग़ज़लान
6845,terenika,टेरेनिका
6846,balidaan,बलिदान
6847,vaachikaa,वाचिका
6848,khatun,खातून
6849,steeve,स्टीव
6850,roland,रॉलेंड
6851,jenophone,ज़ेनोफोन
6852,munim,मुनीम
6853,meghavini,मेधाविनी
6854,vest,वेस्ट
6855,saguja,सरगुजा
6856,barson,बरसौन
6857,dag,दाग
6858,taitus,टाइटस
6859,blinks,ब्लिक्स
6860,naaz,नाज़
6861,curt,कर्ट
6862,chambal,चंबल
6863,suvorov,सुवोरोव
6864,laganse,लागुआन्स
6865,chakachuaa,चाकाचुआ
6866,longunaas,लॅगुनास
6867,dey,डे
6868,montebelo,मोन्टेबेलो
6869,dameer,दमीर
6870,sadhna,साधना
6871,akamlaka,अकलंका
6872,ganegaamaa,गनेगामा
6873,varner,वार्नर
6874,luseno,लूसेनो
6875,vejont,वेजोंट
6876,erel,ऐरेल
6877,bel,बेल
6878,dinbandhu,दीनबंधु
6879,shoeb,शोएब
6880,gigan,कीगन
6881,meith,मेथ
6882,khooni,खूनी
6883,saaya,साया
6884,bhushan,भूषण
6885,bhudraj,भुदराज
6886,nazeeba,नाजिबा
6887,prajeet,प्रजीत
6888,abjyoni,अब्जयोनि
6889,gandhapalin,गंधपालिन
6890,kansas,कान्सास
6891,nehemiah,नेहमियाह
6892,peri,पेरी
6893,tolerance,सबर
6894,vivid,शोख
6895,dilruba,दिलरुबा
6896,moniruzzaman,मोनीरुज़्ज़ामन
6897,nishane,‍निशाने
6898,baazi,बाज़ी
6899,jaiyyes,जैक्वेस
6900,rudalf,रुडॉल्फ
6901,pricewaterhouse,प्राइसवॉटरहाउस
6902,coopers,कूपर्स
6903,stadman,स्टेडमैन
6904,binayak,विनायक
6905,ramteke,रामटेके
6906,starligt,स्टरलाइट
6907,pishkin,पिश्किन
6908,solastis,सोलस्टिस
6909,prusen,प्रूसेन
6910,aarnaald,आरनॉल्ड
6911,bijauli,बिजौली
6912,insaaniyat,इंसानियत
6913,enemy,दुश्मन
6914,lowell,लोवेल
6915,prhithviraj,पृथ्वीराज
